participant,rank,realrate.response,thisN,physical,document,witness,character,verdict.response,responseTextBox.text,thisRow.t,vviqTrials.vviqResponse.response,vviqResponse.response,trials.verdict.response,trials.realrate.response,trials.casestrength.response,surpriseTestLoopSmall.evidenceUsedResponse.rt,surpriseTestLoopSmall.evidenceUsedResponse.response,surpriseTestLoopSmall.confidenceLevel.response,notes,frameRate,evidenceUsedResponse.rt,evidenceUsedResponse.response,consentInfiniteLoop.consented_button.numClicks,confidenceLevel.response,casestrength.response,waitInstruction.stopped,waitInstruction.started,vviqTrials.thisTrialN,vviqTrials.thisRepN,vviqTrials.thisN,vviqTrials.thisIndex,vviqTheme,vviqShowNewTheme.stopped,vviqShowNewTheme.started,vviqQuestions.stopped,vviqQuestions.started,vviqQuestion,vviqInstructions.stopped,vviqInstructions.started,userResponseContinue.started,userResponse.stopped,userResponse.started,trials.thisTrialN,trials.thisRepN,trials.thisN,trials.thisIndex,trials.responseTextBox.text,thisTrialN,thisRepN,testInstruction.stopped,testInstruction.started,surpriseTestRoutine.stopped,surpriseTestRoutine.started,surpriseTestPrompt.stopped,surpriseTestPrompt.started,surpriseTestLoopSmall.thisTrialN,surpriseTestLoopSmall.thisRepN,surpriseTestLoopSmall.thisN,surpriseTestLoopSmall.thisIndex,surpriseTestLoopBig.thisTrialN,surpriseTestLoopBig.thisRepN,surpriseTestLoopBig.thisN,surpriseTestLoopBig.thisIndex,severity,setUpRoutine.stopped,setUpRoutine.started,psychopyVersion,minorInculp,minorExculp,lureType,lureCaseNum,lureCase,expStart,expName,evidenceAppendLoop.thisTrialN,evidenceAppendLoop.thisRepN,evidenceAppendLoop.thisN,evidenceAppendLoop.thisIndex,evidence4,evidence3,evidence2,evidence1,draftedBy,date,criticalInculp,criticalExculp,crimeType,crimeDescription,crime,consented,consentInfiniteLoop.thisTrialN,consentInfiniteLoop.thisRepN,consentInfiniteLoop.thisN,consentInfiniteLoop.thisIndex,consentInfiniteLoop.consented_button.timesOn,consentInfiniteLoop.consented_button.timesOff,condition,characterVirtue,baseScenerio,appendEvidence.stopped,appendEvidence.started,Wait.stopped,Wait.started,Survey.stopped,Survey.started,Scenerio.stopped,Scenerio.started,Introduction2.stopped,Introduction2.started,Introduction1.stopped,Introduction1.started,Consent.stopped,Consent.started
080103,,,6,,,,,,,2142.059613,4,4,,,,,,,,60,,,,,,,,6,0,6,6,Visualize a rising sun. Consider carefully the picture that comes before your mind's eye.,2142.047740799957,2142.0477288999828,2147.239382199943,2142.0502775999485,"Clouds. A storm blows up, with flashes of lightning.",,,,,,,,,,,6,0,,,,,,,,,,,,,,,,,,2024.2.4,,,,,,2026-04-22 11h02.58.159027 -0600,JurorPsychopyTest,,,,,,,,,,2026-04-22_11h01.50.337,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
080103,,,7,,,,,,,2147.2514150999486,3,3,,,,,,,,60,,,,,,,,7,0,7,7,Visualize a rising sun. Consider carefully the picture that comes before your mind's eye.,2147.2394877999322,2147.2394726999337,2152.807965999935,2147.240806399961,A rainbow appears.,,,,,,,,,,,7,0,,,,,,,,,,,,,,,,,,2024.2.4,,,,,,2026-04-22 11h02.58.159027 -0600,JurorPsychopyTest,,,,,,,,,,2026-04-22_11h01.50.337,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
080103,,,8,,,,,,,2152.819439099985,4,4,,,,,,,,60,,,,,,,,8,0,8,8,Think of the front of a shop which you often go to. Consider the picture that comes before  your mind's eye.,2158.3532478999114,2152.811284199939,2170.810806,2158.357538399985,The overall appearance of the shop from the opposite side of the road.,,,,,,,,,,,8,0,,,,,,,,,,,,,,,,,,2024.2.4,,,,,,2026-04-22 11h02.58.159027 -0600,JurorPsychopyTest,,,,,,,,,,2026-04-22_11h01.50.337,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
080103,,,9,,,,,,,2170.822835400002,5,5,,,,,,,,60,,,,,,,,9,0,9,9,Think of the front of a shop which you often go to. Consider the picture that comes before  your mind's eye.,2170.810913599911,2170.810899199918,2177.148653900018,2170.812811599928,"A window display including colors, shapes, and details of the door.",,,,,,,,,,,9,0,,,,,,,,,,,,,,,,,,2024.2.4,,,,,,2026-04-22 11h02.58.159027 -0600,JurorPsychopyTest,,,,,,,,,,2026-04-22_11h01.50.337,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
080103,,,10,,,,,,,2177.1604878000217,4,4,,,,,,,,60,,,,,,,,10,0,10,10,Think of the front of a shop which you often go to. Consider the picture that comes before  your mind's eye.,2177.1487586000003,2177.148746599909,2181.5527522999328,2177.151701799943,"You are near the entrance. The color, shape, and details of individual items for sale.",,,,,,,,,,,10,0,,,,,,,,,,,,,,,,,,2024.2.4,,,,,,2026-04-22 11h02.58.159027 -0600,JurorPsychopyTest,,,,,,,,,,2026-04-22_11h01.50.337,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
080103,,,11,,,,,,,2181.564751299913,3,3,,,,,,,,60,,,,,,,,11,0,11,11,Think of the front of a shop which you often go to. Consider the picture that comes before  your mind's eye.,2181.5528541000094,2181.5528426999226,2185.752430499997,2181.555846699979,You enter the shop and go to the counter. The counter assistant serves you. Money changes hands.,,,,,,,,,,,11,0,,,,,,,,,,,,,,,,,,2024.2.4,,,,,,2026-04-22 11h02.58.159027 -0600,JurorPsychopyTest,,,,,,,,,,2026-04-22_11h01.50.337,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
080103,,,12,,,,,,,2185.760799199925,3,3,,,,,,,,60,,,,,,,,12,0,12,12,"Think of a country scene which involves trees, mountains, and a lake. Consider the picture that comes before your mind's eye.",2191.556791299954,2185.7549255000195,2195.3090067999437,2191.558419400011,The contours of the landscape.,,,,,,,,,,,12,0,,,,,,,,,,,,,,,,,,2024.2.4,,,,,,2026-04-22 11h02.58.159027 -0600,JurorPsychopyTest,,,,,,,,,,2026-04-22_11h01.50.337,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
080103,,,13,,,,,,,2195.3246114000212,3,3,,,,,,,,60,,,,,,,,13,0,13,13,"Think of a country scene which involves trees, mountains, and a lake. Consider the picture that comes before your mind's eye.",2195.309123300016,2195.309108000016,2210.324476299924,2195.311515199952,The color and shape of the trees.,,,,,,,,,,,13,0,,,,,,,,,,,,,,,,,,2024.2.4,,,,,,2026-04-22 11h02.58.159027 -0600,JurorPsychopyTest,,,,,,,,,,2026-04-22_11h01.50.337,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
080103,,,14,,,,,,,2210.3362935999176,2,2,,,,,,,,60,,,,,,,,14,0,14,14,"Think of a country scene which involves trees, mountains, and a lake. Consider the picture that comes before your mind's eye.",2210.324568699929,2210.324557599961,2213.195417299983,2210.3259738999186,The color and shape of the lake.,,,,,,,,,,,14,0,,,,,,,,,,,,,,,,,,2024.2.4,,,,,,2026-04-22 11h02.58.159027 -0600,JurorPsychopyTest,,,,,,,,,,2026-04-22_11h01.50.337,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
080103,,,15,,,,,,,2213.2073463000124,3,3,,,,,,,,60,,,,,,,,15,0,15,15,"Think of a country scene which involves trees, mountains, and a lake. Consider the picture that comes before your mind's eye.",2213.1955269000027,2213.195514999912,2222.125719100004,2213.197223700001,A strong wind blows on the trees and on the lake causing waves.,,,,,,,,,,,15,0,,,,,,,,,,,,,,,,,,2024.2.4,,,,,,2026-04-22 11h02.58.159027 -0600,JurorPsychopyTest,,,,,,,,,,2026-04-22_11h01.50.337,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
080103,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2228.296262899996,2222.125825700001,,,,,,,,,,,,,,,,2024.2.4,,,,,,2026-04-22 11h02.58.159027 -0600,JurorPsychopyTest,,,,,,,,,,2026-04-22_11h01.50.337,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
