"scenario","type","valence","mean","sd"
13,"physical","exculpatory",-1.23240229365075,0.2713976746266
13,"physical","ambiguous",-0.275116235672427,0.299837421151861
13,"physical","inculpatory",2.54672288434435,0.332630242910881
13,"document","exculpatory",-1.01184080059399,0.284628374216684
13,"document","ambiguous",0.211907448981225,0.285962473009223
13,"document","inculpatory",2.60527602234286,0.33817470378826
13,"witness","exculpatory",-0.727385134881288,0.235098749412027
13,"witness","ambiguous",-0.252927423029984,0.196868064720063
13,"witness","inculpatory",1.4537280880479,0.222602479461399
13,"character","exculpatory",-0.377569107140604,0.149331297915593
13,"character","inculpatory",1.08229818556694,0.242071041792411
14,"physical","exculpatory",-1.1329533752894,0.27232388521028
14,"physical","ambiguous",0.0970632390523544,0.285875933107112
14,"physical","inculpatory",2.44231421888817,0.299868557506992
14,"document","exculpatory",-0.88484057543227,0.274942575401387
14,"document","ambiguous",0.17966646167849,0.273838886787691
14,"document","inculpatory",1.76123239995377,0.313483308334101
14,"witness","exculpatory",-0.606254842624717,0.230165219999167
14,"witness","ambiguous",-0.296413893726189,0.204680030646678
14,"witness","inculpatory",1.38748783919655,0.211557015425059
14,"character","exculpatory",-0.271588030806177,0.161019878609653
14,"character","inculpatory",0.434779399214617,0.243675615105723
15,"physical","exculpatory",-0.890861860095995,0.272772125539715
15,"physical","ambiguous",0.443337196629855,0.277087556812966
15,"physical","inculpatory",2.07964666950361,0.322324157299054
15,"document","exculpatory",-1.32189344966358,0.289746223170158
15,"document","ambiguous",0.277636875509026,0.283635252723865
15,"document","inculpatory",2.08681645412527,0.313705660012429
15,"witness","exculpatory",-0.470639654946266,0.260217447596356
15,"witness","ambiguous",-0.116967068184164,0.168196031547237
15,"witness","inculpatory",1.10874302101388,0.237621663203457
15,"character","exculpatory",-0.220997055685427,0.178676605513365
15,"character","inculpatory",0.343176483258807,0.266518792118172
16,"physical","exculpatory",-0.696843353241205,0.288060444156273
16,"physical","ambiguous",-0.0383525853464828,0.278284360550776
16,"physical","inculpatory",1.70914114458252,0.342479492040206
16,"document","exculpatory",-0.827597094026253,0.267889096354851
16,"document","ambiguous",-0.0586572844490854,0.285996936182564
16,"document","inculpatory",1.41926011409302,0.323425210776163
16,"witness","exculpatory",-0.608368575421186,0.233958493067965
16,"witness","ambiguous",-0.208226693290162,0.170753485361088
16,"witness","inculpatory",1.51690609823156,0.242043868275386
16,"character","exculpatory",-0.334626372732796,0.146024607245363
16,"character","inculpatory",0.802223488759521,0.209332865715254
17,"physical","exculpatory",-0.80106091076935,0.276721636194514
17,"physical","ambiguous",-0.0385202973969507,0.288011664722753
17,"physical","inculpatory",2.09863452503589,0.322993545533026
17,"document","exculpatory",-1.47158481770017,0.306494676989821
17,"document","ambiguous",0.52317125409266,0.287521497889786
17,"document","inculpatory",1.79838770729696,0.308680118201803
17,"witness","exculpatory",-0.951501985785088,0.254115171694183
17,"witness","ambiguous",0.0124304063043878,0.222198180083073
17,"witness","inculpatory",1.19562413482642,0.22529542492068
17,"character","exculpatory",-0.375897621946664,0.142608046436729
